permReq(read=0, addr=0x1ffffdfff60, proc=0): INVALID -> INVALID_MODIFIED
permReq(read=0, addr=0x1ffff6b68b0, proc=1): INVALID -> INVALID_MODIFIED
permReq(read=1, addr=0x1ffff612070, proc=2): INVALID -> INVALID_SHARED
permReq(read=1, addr=0x1ffff5cddf0, proc=3): INVALID -> INVALID_SHARED
busReq(req=2, addr=0x1ffffdfff60, proc=1): INVALID -> INVALID
busReq(req=2, addr=0x1ffffdfff60, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffffdfff60, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffffdfff60, proc=0): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffffdfff60, proc=0): MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff8a65b0, proc=0): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff6b68b0, proc=0): INVALID -> INVALID
busReq(req=2, addr=0x1ffff6b68b0, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffff6b68b0, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff6b68b0, proc=1): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff6b68b0, proc=1): MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff6b68d0, proc=1): INVALID -> INVALID_MODIFIED
busReq(req=1, addr=0x1ffff612070, proc=0): INVALID -> INVALID
busReq(req=1, addr=0x1ffff612070, proc=1): INVALID -> INVALID
busReq(req=1, addr=0x1ffff612070, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff612070, proc=2): INVALID_SHARED -> SHARED
permReq(read=1, addr=0x1ffff612070, proc=2): SHARED -> SHARED
permReq(read=1, addr=0x1ffff612090, proc=2): INVALID -> INVALID_SHARED
busReq(req=1, addr=0x1ffff5cddf0, proc=0): INVALID -> INVALID
busReq(req=1, addr=0x1ffff5cddf0, proc=1): INVALID -> INVALID
busReq(req=1, addr=0x1ffff5cddf0, proc=2): INVALID -> INVALID
busReq(req=3, addr=0x1ffff5cddf0, proc=3): INVALID_SHARED -> SHARED
permReq(read=1, addr=0x1ffff5cddf0, proc=3): SHARED -> SHARED
permReq(read=1, addr=0x1ffff5cde10, proc=3): INVALID -> INVALID_SHARED
busReq(req=2, addr=0x1ffff8a65b0, proc=1): INVALID -> INVALID
busReq(req=2, addr=0x1ffff8a65b0, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffff8a65b0, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff8a65b0, proc=0): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffffdfff80, proc=0): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffffdfff80, proc=1): INVALID -> INVALID
busReq(req=2, addr=0x1ffffdfff80, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffffdfff80, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffffdfff80, proc=0): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff8c3330, proc=0): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff8c3330, proc=1): INVALID -> INVALID
busReq(req=2, addr=0x1ffff8c3330, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffff8c3330, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff8c3330, proc=0): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff8c3340, proc=0): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff8c3340, proc=1): INVALID -> INVALID
busReq(req=2, addr=0x1ffff8c3340, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffff8c3340, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff8c3340, proc=0): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffffdfff90, proc=0): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffffdfff90, proc=1): INVALID -> INVALID
busReq(req=2, addr=0x1ffffdfff90, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffffdfff90, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffffdfff90, proc=0): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff8c3340, proc=0): MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff6b68d0, proc=0): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff6b68d0, proc=0): INVALID_MODIFIED -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff6b68d0, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffff6b68d0, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff6b68d0, proc=1): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff6b68f0, proc=1): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff6b68f0, proc=0): INVALID -> INVALID
busReq(req=2, addr=0x1ffff6b68f0, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffff6b68f0, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff6b68f0, proc=1): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff6b68d0, proc=1): MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff8a65c0, proc=1): INVALID -> INVALID_MODIFIED
busReq(req=1, addr=0x1ffff612090, proc=0): INVALID -> INVALID
busReq(req=1, addr=0x1ffff612090, proc=1): INVALID -> INVALID
busReq(req=1, addr=0x1ffff612090, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff612090, proc=2): INVALID_SHARED -> SHARED
permReq(read=1, addr=0x1ffff6120b0, proc=2): INVALID -> INVALID_SHARED
busReq(req=1, addr=0x1ffff6120b0, proc=0): INVALID -> INVALID
busReq(req=1, addr=0x1ffff6120b0, proc=1): INVALID -> INVALID
busReq(req=1, addr=0x1ffff6120b0, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff6120b0, proc=2): INVALID_SHARED -> SHARED
permReq(read=1, addr=0x1ffff612090, proc=2): SHARED -> SHARED
permReq(read=0, addr=0x1ffff8a65c0, proc=2): INVALID -> INVALID_MODIFIED
busReq(req=1, addr=0x1ffff5cde10, proc=0): INVALID -> INVALID
busReq(req=1, addr=0x1ffff5cde10, proc=1): INVALID -> INVALID
busReq(req=1, addr=0x1ffff5cde10, proc=2): INVALID -> INVALID
